open,high,low,close,volume,start
105763.29,105806.8,105495.78,105577.19,120.04933183,1970-01-21 05:57:10.800
105784.41,106035.51,105640.71,105764.12,123.22300447,1970-01-21 05:57:07.200
105821.19,105839.58,105613.03,105784.4,161.52903323,1970-01-21 05:57:03.600
106385.98,106430.34,105747.32,105821.2,281.96976312,1970-01-21 05:57:00.000
106214.65,106548.9,106214.64,106392.93,108.60383463,1970-01-21 05:56:56.400
106367.5,106386.58,106177.01,106214.65,91.56156581,1970-01-21 05:56:52.800
106369.09,106400.68,106234.99,106367.49,64.19884209,1970-01-21 05:56:49.200
106151.46,106395.19,106088.07,106369.09,92.84505476,1970-01-21 05:56:45.600
106257.49,106420,106139.11,106151.47,125.03099323,1970-01-21 05:56:42.000
106039.34,106353.63,106003.64,106257.49,174.26889075,1970-01-21 05:56:38.400
105882.6,106181.3,105875.57,106039.35,129.86516878,1970-01-21 05:56:34.800
105670.02,105969.3,105613.55,105875.74,77.40338028,1970-01-21 05:56:31.200
105767.18,106178.37,105610.76,105670.02,85.77277348,1970-01-21 05:56:27.600
105726.96,105822.3,105572.53,105768.82,53.30181193,1970-01-21 05:56:24.000
105402.8,105774.4,105402.79,105727.02,50.88498339,1970-01-21 05:56:20.400
105196.46,105529.5,105028.3,105402.8,43.6922418,1970-01-21 05:56:16.800
105427.11,105460.79,105125.8,105196.46,72.37967494,1970-01-21 05:56:13.200
105485.51,105565.88,105415.01,105427.11,26.60507333,1970-01-21 05:56:09.600
105499.81,105622.93,105467.02,105485.5,35.40779687,1970-01-21 05:56:06.000
105499.82,105665.02,105483.04,105499.8,37.63151903,1970-01-21 05:56:02.400
105674.97,105700,105464.01,105499.82,49.28370518,1970-01-21 05:55:58.800
105548.74,105699.17,105462.19,105674.79,43.72278843,1970-01-21 05:55:55.200
105505.12,105579.95,105451.72,105548.75,31.42099085,1970-01-21 05:55:51.600
105756.4,105756.4,105492.01,105505.12,40.51457528,1970-01-21 05:55:48.000
105544.36,105842.42,105455.02,105756.42,49.91642415,1970-01-21 05:55:44.400
105619.02,105727.89,105502.15,105544.35,70.79922501,1970-01-21 05:55:40.800
105882.6,105900.82,105588.62,105619.02,111.70832215,1970-01-21 05:55:37.200
105832.66,105989.91,105734.01,105882.6,108.6614482,1970-01-21 05:55:33.600
105931.47,105949.97,105777.01,105832.66,66.43377494,1970-01-21 05:55:30.000
105788.47,106000,105785.4,105931.47,234.02650624,1970-01-21 05:55:26.400
105662.43,105935.61,105647.56,105786.47,93.49131302,1970-01-21 05:55:22.800
105463.15,105954.82,105462.68,105662.43,107.9530739,1970-01-21 05:55:19.200
105405.03,105618.29,105380.86,105461.96,44.06520536,1970-01-21 05:55:15.600
105628.17,105763.44,105324.09,105405.01,73.62756836,1970-01-21 05:55:12.000
105486.43,105674.11,105387,105628.18,121.98776489,1970-01-21 05:55:08.400
105678.75,105758.28,105454.51,105486.43,126.79336969,1970-01-21 05:55:04.800
105524.53,105889.42,105369.09,105678.75,237.82207,1970-01-21 05:55:01.200
105208.82,105757.33,105208.82,105524.52,216.03537291,1970-01-21 05:54:57.600
105213.77,105370.91,105119.23,105208.82,168.05728451,1970-01-21 05:54:54.000
104922.05,105273.34,104901.37,105213.77,187.32714885,1970-01-21 05:54:50.400
104818.82,105060.22,104818.78,104922.06,140.33621627,1970-01-21 05:54:46.800
104954.79,105060.65,104772.43,104818.75,136.63751389,1970-01-21 05:54:43.200
105407.92,105421.5,104915.35,104955.07,161.22695431,1970-01-21 05:54:39.600
104955.09,105418.63,104872.38,105407.91,345.05902018,1970-01-21 05:54:36.000
104912.18,105100,104835.01,104955.09,190.70558446,1970-01-21 05:54:32.400
104972.65,104976.92,104730.01,104912.19,293.99640725,1970-01-21 05:54:28.800
104630.36,105028.65,104577.44,104972.65,319.59501562,1970-01-21 05:54:25.200
104540.32,104726.24,104425.94,104630.36,200.40198015,1970-01-21 05:54:21.600
104612.45,104678.11,104434.01,104540.33,210.42207325,1970-01-21 05:54:18.000
104398,104620,103969.7,104612.2,244.73025431,1970-01-21 05:54:14.400
104577.83,104614,104296.15,104397.99,215.44154327,1970-01-21 05:54:10.800
104490.59,104619.99,104331.51,104577.84,323.10306692,1970-01-21 05:54:07.200
104575.74,104609.4,104363.83,104490.6,333.02732103,1970-01-21 05:54:03.600
104309.01,104704.42,104249.99,104575.74,328.32147113,1970-01-21 05:54:00.000
104592.34,104691.67,104131.65,104304.24,439.73969203,1970-01-21 05:53:56.400
105019.23,105083.99,104541.75,104592.35,413.40791342,1970-01-21 05:53:52.800
104865.84,105062.56,104530.21,105019.22,285.18729986,1970-01-21 05:53:49.200
105187.21,105405.68,104795.33,104865.84,683.04665639,1970-01-21 05:53:45.600
104886.58,105439.01,104601.95,105182.17,762.49223149,1970-01-21 05:53:42.000
104168.82,105000,104075.19,104886.58,530.88210502,1970-01-21 05:53:38.400
103841.24,104634.39,103841.23,104169.86,592.09284046,1970-01-21 05:53:34.800
104005.77,104381.87,103603.36,103841.24,571.2075616,1970-01-21 05:53:31.200
103742.85,104079.99,103712.38,104005.75,561.09893849,1970-01-21 05:53:27.600
103717.64,103896,103618.81,103742.86,291.34050147,1970-01-21 05:53:24.000
103573.79,103828.26,103573.78,103715.56,342.47116917,1970-01-21 05:53:20.400
103214.54,103671,103214.54,103573.79,421.08813752,1970-01-21 05:53:16.800
103245.49,103541.03,103114.41,103214.54,460.32483769,1970-01-21 05:53:13.200
103015.14,103295.67,102959.35,103245.48,407.04472669,1970-01-21 05:53:09.600
102844.02,103049.99,102720.5,103015.15,328.80574311,1970-01-21 05:53:06.000
102556.06,102885,102446.39,102851.49,647.04759095,1970-01-21 05:53:02.400
102241.87,102600.28,102100,102556.01,196.4498587,1970-01-21 05:52:58.800
101899.09,102249.89,101573,102241.87,178.55177166,1970-01-21 05:52:55.200
101947.11,101998.99,101718.77,101896.1,158.53914173,1970-01-21 05:52:51.600
101570.2,101965.99,101132.91,101947.12,204.28786629,1970-01-21 05:52:48.000
101555.83,101884.79,101519.86,101570.2,289.32581267,1970-01-21 05:52:44.400
101581.89,101755,101063.84,101555.84,428.83988574,1970-01-21 05:52:40.800
100498.69,101708.36,100444.11,101589.19,704.24768608,1970-01-21 05:52:37.200
101917.65,102185.14,100345.73,100496.42,1384.30521109,1970-01-21 05:52:33.600
103012.89,103065.26,101603.01,101908.77,1179.80837856,1970-01-21 05:52:30.000
103245.8,103379.25,102553.11,103012.88,883.23557886,1970-01-21 05:52:26.400
103274.35,103630,103132.19,103245.78,851.51483636,1970-01-21 05:52:22.800
104572.69,104638.54,103256.56,103280,1318.2650753,1970-01-21 05:52:19.200
104688.59,104919.19,104368.08,104572.7,348.14000207,1970-01-21 05:52:15.600
104557.3,104970,103910.44,104695.9,717.61078673,1970-01-21 05:52:12.000
105704.86,105999.68,104343.51,104557.29,692.86540255,1970-01-21 05:52:08.400
104875.46,105840.02,104828.64,105704.85,500.601075,1970-01-21 05:52:04.800
104711.07,104919.24,104600.01,104875.47,59.89347301,1970-01-21 05:52:01.200
104944.63,104952.45,104560.03,104711.06,93.51690537,1970-01-21 05:51:57.600
104728.41,104975.34,104722.01,104944.64,68.63202264,1970-01-21 05:51:54.000
